model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
all_ones,0.000,0.424,0.500,0.000,0.000,0.269,0.000,1.000,0.269,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all_zeros,0.844,0.000,0.500,0.000,0.731,0.000,1.000,0.000,0.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
random_classifier,0.752,0.254,0.504,0.009,0.733,0.276,0.773,0.236,0.628,0.230,0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_1_gram,0.867,0.480,0.654,0.396,0.801,0.708,0.945,0.363,0.788,0.655,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_3_gram,0.869,0.501,0.665,0.413,0.807,0.711,0.942,0.387,0.792,0.667,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fast_text+svc,0.848,0.466,0.643,0.335,0.799,0.594,0.903,0.383,0.763,0.575,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s42_max_tokens_512,0.880,0.652,0.758,0.534,0.865,0.687,0.896,0.621,0.822,0.782,0.586,0.838,0.138,0.883,0.117,0.702,0.121,0.752,0.143,0.774,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s43_max_tokens_512,0.877,0.654,0.761,0.532,0.868,0.674,0.887,0.635,0.819,0.793,0.601,0.842,0.135,0.886,0.114,0.707,0.123,0.768,0.135,0.781,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s44_max_tokens_512,0.879,0.667,0.771,0.546,0.876,0.674,0.882,0.660,0.822,0.805,0.628,0.837,0.142,0.883,0.123,0.695,0.125,0.754,0.143,0.779,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s45_max_tokens_512,0.880,0.634,0.744,0.519,0.855,0.696,0.906,0.582,0.819,0.736,0.549,0.842,0.139,0.889,0.114,0.702,0.126,0.742,0.147,0.776,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s46_max_tokens_512,0.873,0.652,0.761,0.524,0.871,0.656,0.875,0.648,0.813,0.805,0.613,0.841,0.139,0.892,0.113,0.689,0.123,0.755,0.141,0.780,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s47_max_tokens_512,0.884,0.650,0.754,0.539,0.860,0.710,0.910,0.598,0.826,0.759,0.564,0.841,0.137,0.886,0.114,0.698,0.128,0.753,0.144,0.775,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s48_max_tokens_512,0.879,0.643,0.752,0.525,0.861,0.685,0.897,0.607,0.819,0.747,0.576,0.832,0.140,0.881,0.116,0.681,0.119,0.749,0.136,0.756,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s49_max_tokens_512,0.881,0.663,0.767,0.545,0.871,0.686,0.892,0.641,0.825,0.770,0.613,0.839,0.139,0.886,0.119,0.697,0.127,0.756,0.134,0.775,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s50_max_tokens_512,0.887,0.669,0.769,0.558,0.870,0.709,0.904,0.633,0.831,0.747,0.608,0.840,0.140,0.885,0.121,0.701,0.125,0.760,0.142,0.769,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s51_max_tokens_512,0.881,0.653,0.758,0.536,0.865,0.691,0.898,0.619,0.823,0.747,0.591,0.840,0.140,0.888,0.115,0.692,0.121,0.749,0.140,0.774,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s52_max_tokens_512,0.883,0.621,0.734,0.517,0.846,0.726,0.924,0.543,0.822,0.713,0.506,0.835,0.142,0.886,0.115,0.681,0.114,0.741,0.145,0.737,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s53_max_tokens_512,0.870,0.640,0.753,0.510,0.865,0.650,0.875,0.631,0.809,0.782,0.599,0.830,0.141,0.879,0.119,0.689,0.124,0.732,0.145,0.779,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s54_max_tokens_512,0.882,0.655,0.760,0.539,0.865,0.693,0.899,0.621,0.824,0.805,0.581,0.837,0.139,0.884,0.116,0.693,0.123,0.753,0.143,0.767,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s55_max_tokens_512,0.877,0.663,0.769,0.541,0.875,0.669,0.880,0.658,0.820,0.782,0.631,0.836,0.142,0.884,0.121,0.701,0.129,0.748,0.144,0.776,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s56_max_tokens_512,0.884,0.666,0.768,0.551,0.871,0.695,0.897,0.639,0.827,0.793,0.606,0.850,0.137,0.895,0.115,0.714,0.124,0.767,0.145,0.788,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s57_max_tokens_512,0.875,0.648,0.758,0.523,0.867,0.665,0.882,0.633,0.815,0.793,0.599,0.844,0.136,0.886,0.118,0.714,0.129,0.752,0.138,0.805,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s58_max_tokens_512,0.883,0.663,0.766,0.548,0.869,0.696,0.898,0.633,0.827,0.759,0.606,0.843,0.138,0.889,0.119,0.718,0.115,0.756,0.140,0.772,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s59_max_tokens_512,0.882,0.666,0.769,0.549,0.872,0.688,0.892,0.645,0.826,0.805,0.611,0.840,0.137,0.887,0.117,0.703,0.121,0.760,0.136,0.771,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s60_max_tokens_512,0.883,0.667,0.769,0.552,0.872,0.693,0.895,0.643,0.827,0.793,0.611,0.836,0.139,0.883,0.117,0.700,0.123,0.746,0.141,0.771,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s61_max_tokens_512,0.883,0.653,0.758,0.538,0.863,0.699,0.903,0.613,0.825,0.747,0.584,0.837,0.141,0.886,0.118,0.687,0.119,0.752,0.140,0.760,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s62_max_tokens_512,0.874,0.659,0.767,0.533,0.875,0.658,0.874,0.660,0.816,0.816,0.626,0.839,0.139,0.887,0.118,0.695,0.124,0.766,0.137,0.779,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s63_max_tokens_512,0.878,0.647,0.755,0.527,0.863,0.682,0.894,0.615,0.819,0.759,0.584,0.837,0.139,0.888,0.115,0.686,0.115,0.760,0.138,0.756,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s64_max_tokens_512,0.878,0.644,0.753,0.524,0.862,0.680,0.894,0.613,0.818,0.747,0.584,0.846,0.138,0.892,0.113,0.707,0.131,0.760,0.143,0.782,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s65_max_tokens_512,0.881,0.648,0.754,0.532,0.861,0.695,0.902,0.607,0.822,0.747,0.576,0.836,0.140,0.883,0.117,0.696,0.128,0.753,0.138,0.763,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s66_max_tokens_512,0.879,0.665,0.770,0.544,0.875,0.673,0.882,0.658,0.822,0.793,0.628,0.844,0.139,0.889,0.120,0.704,0.125,0.761,0.142,0.792,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s67_max_tokens_512,0.884,0.650,0.755,0.539,0.861,0.709,0.909,0.600,0.826,0.724,0.574,0.839,0.138,0.888,0.114,0.690,0.116,0.755,0.138,0.759,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s68_max_tokens_512,0.883,0.658,0.762,0.543,0.866,0.697,0.900,0.623,0.826,0.759,0.594,0.848,0.136,0.891,0.116,0.714,0.131,0.763,0.142,0.790,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s69_max_tokens_512,0.882,0.680,0.781,0.561,0.882,0.679,0.881,0.680,0.827,0.839,0.646,0.838,0.137,0.880,0.122,0.709,0.124,0.776,0.134,0.780,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s70_max_tokens_512,0.877,0.671,0.775,0.548,0.880,0.665,0.875,0.676,0.821,0.839,0.641,0.851,0.134,0.897,0.111,0.715,0.125,0.771,0.145,0.798,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s71_max_tokens_512,0.881,0.657,0.762,0.539,0.868,0.686,0.894,0.631,0.823,0.759,0.603,0.841,0.140,0.890,0.116,0.693,0.117,0.771,0.138,0.758,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s72_max_tokens_512,0.880,0.647,0.754,0.530,0.862,0.691,0.900,0.609,0.821,0.747,0.579,0.842,0.140,0.890,0.117,0.694,0.120,0.752,0.144,0.773,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s73_max_tokens_512,0.879,0.638,0.747,0.521,0.857,0.691,0.903,0.592,0.819,0.713,0.566,0.837,0.139,0.884,0.116,0.691,0.128,0.753,0.142,0.766,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s74_max_tokens_512,0.884,0.640,0.747,0.531,0.855,0.715,0.915,0.580,0.825,0.759,0.541,0.841,0.140,0.893,0.113,0.682,0.112,0.751,0.135,0.747,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s75_max_tokens_512,0.880,0.643,0.751,0.526,0.860,0.690,0.900,0.602,0.820,0.747,0.571,0.836,0.137,0.883,0.115,0.702,0.117,0.746,0.139,0.766,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s76_max_tokens_512,0.884,0.657,0.760,0.544,0.865,0.703,0.904,0.617,0.827,0.770,0.584,0.838,0.142,0.885,0.122,0.705,0.119,0.752,0.137,0.763,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s77_max_tokens_512,0.884,0.663,0.765,0.549,0.869,0.698,0.900,0.631,0.827,0.770,0.601,0.838,0.142,0.887,0.119,0.704,0.119,0.746,0.142,0.762,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s78_max_tokens_512,0.885,0.646,0.752,0.537,0.858,0.715,0.913,0.590,0.826,0.759,0.554,0.842,0.137,0.892,0.109,0.681,0.118,0.761,0.144,0.757,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s79_max_tokens_512,0.880,0.667,0.770,0.547,0.875,0.678,0.885,0.656,0.823,0.805,0.623,0.838,0.141,0.881,0.126,0.713,0.129,0.742,0.145,0.789,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s80_max_tokens_512,0.881,0.631,0.742,0.518,0.853,0.702,0.910,0.574,0.820,0.701,0.546,0.836,0.138,0.885,0.112,0.677,0.122,0.748,0.134,0.757,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s81_max_tokens_512,0.885,0.659,0.761,0.546,0.865,0.707,0.906,0.617,0.828,0.736,0.591,0.839,0.140,0.887,0.116,0.695,0.124,0.754,0.145,0.758,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s82_max_tokens_512,0.883,0.658,0.761,0.544,0.866,0.700,0.902,0.621,0.826,0.793,0.584,0.842,0.140,0.892,0.116,0.695,0.121,0.765,0.140,0.752,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s83_max_tokens_512,0.881,0.654,0.759,0.536,0.865,0.690,0.897,0.621,0.823,0.736,0.596,0.838,0.140,0.880,0.119,0.717,0.133,0.751,0.142,0.779,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s84_max_tokens_512,0.883,0.652,0.757,0.538,0.862,0.702,0.905,0.609,0.825,0.759,0.576,0.837,0.140,0.885,0.119,0.685,0.122,0.754,0.138,0.761,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s85_max_tokens_512,0.884,0.663,0.765,0.549,0.869,0.698,0.900,0.631,0.827,0.782,0.599,0.840,0.139,0.890,0.114,0.688,0.119,0.762,0.141,0.760,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s86_max_tokens_512,0.875,0.653,0.761,0.529,0.870,0.666,0.881,0.641,0.817,0.805,0.606,0.846,0.139,0.892,0.117,0.706,0.124,0.758,0.145,0.792,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s87_max_tokens_512,0.869,0.681,0.790,0.554,0.897,0.633,0.842,0.738,0.814,0.897,0.703,0.841,0.142,0.880,0.131,0.724,0.132,0.755,0.143,0.817,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s88_max_tokens_512,0.882,0.659,0.763,0.542,0.868,0.691,0.897,0.629,0.825,0.782,0.596,0.843,0.136,0.890,0.114,0.701,0.116,0.768,0.139,0.769,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s89_max_tokens_512,0.881,0.616,0.731,0.509,0.845,0.715,0.921,0.541,0.818,0.632,0.521,0.836,0.137,0.883,0.114,0.685,0.120,0.749,0.132,0.751,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s90_max_tokens_512,0.884,0.647,0.752,0.536,0.858,0.712,0.912,0.592,0.826,0.701,0.569,0.834,0.141,0.883,0.119,0.684,0.112,0.744,0.139,0.752,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s91_max_tokens_512,0.884,0.656,0.760,0.544,0.864,0.704,0.905,0.615,0.827,0.770,0.581,0.834,0.138,0.882,0.116,0.685,0.118,0.757,0.137,0.757,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_soft_s42_max_tokens_512,0.881,0.658,0.763,0.540,0.868,0.688,0.894,0.631,0.823,0.793,0.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.353,0.309,0.234,0.129,0.051,0.597,1.611,0.711,0.211,0.201
detests-beto-0_no_context_soft_s43_max_tokens_512,0.883,0.659,0.762,0.544,0.866,0.699,0.901,0.623,0.826,0.782,0.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.306,0.213,0.167,0.069,0.543,1.283,0.648,0.282,0.264
detests-beto-0_no_context_soft_s44_max_tokens_512,0.870,0.664,0.773,0.535,0.881,0.643,0.860,0.686,0.813,0.828,0.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.312,0.177,0.134,0.047,0.618,1.399,0.692,0.173,0.188
detests-beto-0_no_context_soft_s45_max_tokens_512,0.876,0.653,0.760,0.529,0.869,0.669,0.884,0.637,0.817,0.793,0.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.363,0.308,0.269,0.172,0.070,0.525,1.380,0.643,0.284,0.262
detests-beto-0_no_context_soft_s46_max_tokens_512,0.875,0.606,0.726,0.489,0.844,0.687,0.909,0.543,0.810,0.690,0.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.447,0.311,0.352,0.165,0.074,0.490,1.293,0.646,0.336,0.278
detests-beto-0_no_context_soft_s47_max_tokens_512,0.873,0.649,0.758,0.522,0.868,0.658,0.878,0.639,0.813,0.828,0.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.427,0.315,0.370,0.166,0.061,0.563,1.476,0.665,0.237,0.242
detests-beto-0_no_context_soft_s48_max_tokens_512,0.869,0.665,0.775,0.536,0.884,0.638,0.855,0.695,0.812,0.839,0.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.305,0.317,0.247,0.179,0.060,0.569,1.240,0.655,0.229,0.241
detests-beto-0_no_context_soft_s49_max_tokens_512,0.877,0.642,0.752,0.521,0.862,0.677,0.893,0.611,0.817,0.862,0.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.358,0.305,0.246,0.158,0.071,0.532,1.412,0.654,0.264,0.245
detests-beto-0_no_context_soft_s50_max_tokens_512,0.874,0.655,0.763,0.529,0.872,0.660,0.877,0.650,0.816,0.851,0.606,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.309,0.304,0.161,0.060,0.554,1.443,0.660,0.243,0.239
detests-beto-0_no_context_soft_s51_max_tokens_512,0.889,0.661,0.761,0.557,0.863,0.730,0.918,0.605,0.833,0.782,0.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.316,0.310,0.174,0.138,0.056,0.613,1.532,0.708,0.199,0.210
detests-beto-1_previous_sentences_hard_s42_max_tokens_512,0.862,0.665,0.778,0.532,0.890,0.618,0.835,0.721,0.805,0.885,0.686,0.828,0.138,0.862,0.124,0.727,0.135,0.738,0.136,0.815,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s43_max_tokens_512,0.864,0.665,0.778,0.533,0.889,0.622,0.840,0.715,0.806,0.839,0.688,0.839,0.135,0.873,0.117,0.736,0.143,0.749,0.135,0.830,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s44_max_tokens_512,0.883,0.670,0.772,0.554,0.874,0.690,0.892,0.652,0.827,0.805,0.618,0.837,0.136,0.877,0.118,0.722,0.139,0.757,0.140,0.784,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s45_max_tokens_512,0.865,0.647,0.761,0.513,0.874,0.632,0.857,0.664,0.805,0.805,0.633,0.837,0.136,0.873,0.116,0.728,0.137,0.736,0.145,0.824,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s46_max_tokens_512,0.853,0.671,0.789,0.537,0.905,0.595,0.807,0.770,0.797,0.931,0.736,0.830,0.135,0.861,0.124,0.742,0.137,0.741,0.131,0.831,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s47_max_tokens_512,0.854,0.647,0.765,0.506,0.883,0.600,0.827,0.703,0.794,0.874,0.666,0.835,0.133,0.874,0.112,0.723,0.138,0.748,0.138,0.822,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s48_max_tokens_512,0.865,0.658,0.769,0.524,0.881,0.629,0.850,0.689,0.807,0.839,0.656,0.825,0.132,0.863,0.116,0.718,0.126,0.759,0.127,0.791,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s49_max_tokens_512,0.877,0.655,0.763,0.533,0.870,0.670,0.884,0.641,0.818,0.793,0.608,0.834,0.137,0.873,0.120,0.721,0.131,0.749,0.138,0.792,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s50_max_tokens_512,0.869,0.654,0.765,0.523,0.875,0.642,0.863,0.666,0.810,0.828,0.631,0.832,0.138,0.871,0.121,0.710,0.136,0.746,0.139,0.806,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s51_max_tokens_512,0.864,0.663,0.775,0.529,0.887,0.622,0.841,0.709,0.806,0.862,0.676,0.831,0.130,0.860,0.118,0.742,0.130,0.742,0.133,0.827,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s52_max_tokens_512,0.859,0.660,0.775,0.524,0.889,0.610,0.831,0.719,0.801,0.862,0.688,0.835,0.137,0.867,0.122,0.733,0.142,0.756,0.143,0.830,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s53_max_tokens_512,0.857,0.641,0.759,0.501,0.876,0.608,0.839,0.678,0.796,0.839,0.643,0.833,0.135,0.873,0.118,0.724,0.126,0.748,0.144,0.808,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s54_max_tokens_512,0.864,0.670,0.782,0.539,0.893,0.622,0.837,0.727,0.807,0.839,0.703,0.832,0.137,0.862,0.124,0.740,0.144,0.736,0.141,0.829,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s55_max_tokens_512,0.868,0.639,0.753,0.507,0.867,0.641,0.869,0.637,0.806,0.805,0.601,0.832,0.135,0.872,0.117,0.723,0.126,0.742,0.142,0.798,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s56_max_tokens_512,0.867,0.661,0.772,0.529,0.882,0.633,0.853,0.691,0.809,0.839,0.658,0.839,0.133,0.874,0.119,0.730,0.131,0.761,0.138,0.821,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s57_max_tokens_512,0.856,0.657,0.774,0.519,0.890,0.602,0.824,0.723,0.797,0.874,0.691,0.825,0.135,0.856,0.124,0.731,0.138,0.738,0.127,0.827,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s58_max_tokens_512,0.869,0.660,0.770,0.530,0.880,0.639,0.858,0.682,0.811,0.816,0.653,0.839,0.135,0.875,0.119,0.736,0.136,0.732,0.137,0.825,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s59_max_tokens_512,0.874,0.674,0.780,0.548,0.886,0.651,0.862,0.699,0.818,0.874,0.661,0.844,0.139,0.883,0.120,0.729,0.143,0.761,0.145,0.809,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s60_max_tokens_512,0.861,0.661,0.775,0.526,0.888,0.614,0.835,0.715,0.802,0.839,0.688,0.825,0.135,0.858,0.119,0.727,0.136,0.732,0.134,0.815,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s61_max_tokens_512,0.870,0.644,0.756,0.514,0.868,0.649,0.872,0.639,0.810,0.782,0.608,0.845,0.135,0.887,0.110,0.719,0.140,0.752,0.147,0.814,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s62_max_tokens_512,0.857,0.668,0.783,0.533,0.898,0.605,0.820,0.746,0.800,0.897,0.713,0.822,0.134,0.850,0.122,0.731,0.139,0.740,0.133,0.826,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s63_max_tokens_512,0.860,0.663,0.777,0.528,0.890,0.613,0.832,0.721,0.802,0.885,0.686,0.832,0.136,0.865,0.122,0.737,0.138,0.724,0.136,0.830,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s64_max_tokens_512,0.859,0.661,0.776,0.525,0.890,0.610,0.830,0.721,0.801,0.874,0.688,0.824,0.135,0.858,0.120,0.725,0.136,0.737,0.132,0.812,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s65_max_tokens_512,0.847,0.655,0.775,0.513,0.896,0.583,0.804,0.746,0.788,0.874,0.718,0.829,0.135,0.859,0.125,0.739,0.133,0.742,0.130,0.833,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-1_previous_sentences_hard_s66_max_tokens_512,0.853,0.665,0.782,0.528,0.899,0.595,0.810,0.754,0.795,0.885,0.726,0.834,0.136,0.862,0.125,0.749,0.139,0.738,0.129,0.841,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
