model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
detests-mbert-3_first_comment_hard_s45_max_tokens_512,0.675,0.557,0.704,0.367,0.920,0.409,0.533,0.875,0.625,0.954,0.858,0.686,0.106,0.684,0.107,0.662,0.098,0.634,0.090,0.731,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s46_max_tokens_512,0.852,0.539,0.684,0.397,0.823,0.605,0.883,0.486,0.776,0.713,0.436,0.763,0.159,0.817,0.145,0.632,0.109,0.662,0.147,0.693,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s47_max_tokens_512,0.818,0.585,0.720,0.412,0.862,0.524,0.778,0.662,0.747,0.805,0.631,0.758,0.145,0.834,0.128,0.625,0.071,0.731,0.138,0.652,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s48_max_tokens_512,0.848,0.052,0.513,0.131,0.736,0.929,0.999,0.027,0.737,0.034,0.025,0.738,0.100,0.767,0.090,0.537,0.000,0.664,0.081,0.551,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s49_max_tokens_512,0.866,0.394,0.618,0.361,0.782,0.772,0.971,0.264,0.781,0.506,0.212,0.758,0.149,0.810,0.129,0.540,0.033,0.666,0.126,0.568,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s50_max_tokens_512,0.862,0.559,0.696,0.430,0.828,0.643,0.899,0.494,0.790,0.713,0.446,0.780,0.134,0.831,0.115,0.627,0.081,0.725,0.120,0.672,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s51_max_tokens_512,0.839,0.606,0.734,0.448,0.864,0.566,0.816,0.652,0.772,0.839,0.611,0.768,0.139,0.824,0.132,0.650,0.090,0.722,0.131,0.692,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s52_max_tokens_512,0.835,0.562,0.700,0.397,0.840,0.554,0.831,0.570,0.760,0.724,0.536,0.767,0.137,0.829,0.118,0.634,0.088,0.708,0.122,0.676,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s53_max_tokens_512,0.575,0.526,0.669,0.321,0.937,0.368,0.415,0.924,0.552,0.966,0.915,0.648,0.088,0.632,0.090,0.635,0.080,0.599,0.080,0.693,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s54_max_tokens_512,0.847,0.139,0.531,0.152,0.743,0.633,0.983,0.078,0.740,0.138,0.065,0.754,0.094,0.783,0.082,0.618,0.094,0.683,0.076,0.679,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
