model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,accuracy_no_contextual,accuracy_contextual,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
all_ones,0.000,0.500,0.500,0.000,0.000,0.333,0.000,1.000,0.333,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all_zeros,0.800,0.000,0.500,0.000,0.667,0.000,1.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
random_classifier,0.677,0.278,0.480,-0.042,0.654,0.302,0.702,0.258,0.554,0.275,0.192,0.259,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_1_gram,0.840,0.590,0.702,0.452,0.783,0.724,0.905,0.499,0.770,0.528,0.384,0.603,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_3_gram,0.839,0.561,0.686,0.437,0.771,0.742,0.922,0.451,0.765,0.482,0.329,0.543,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fast_text+svc,0.805,0.558,0.675,0.368,0.775,0.612,0.838,0.513,0.729,0.525,0.466,0.582,0.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s42_max_tokens_512,0.843,0.537,0.676,0.438,0.761,0.785,0.944,0.408,0.765,0.447,0.257,0.472,0.288,0.720,0.072,0.740,0.055,0.656,0.078,0.691,0.078,0.688,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s43_max_tokens_512,0.813,0.490,0.644,0.337,0.746,0.650,0.894,0.394,0.727,0.440,0.216,0.511,0.176,0.727,0.127,0.779,0.113,0.590,0.072,0.677,0.116,0.644,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s44_max_tokens_512,0.840,0.617,0.717,0.469,0.796,0.712,0.889,0.545,0.774,0.577,0.419,0.609,0.424,0.750,0.130,0.793,0.115,0.656,0.102,0.672,0.120,0.715,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s45_max_tokens_512,0.812,0.422,0.615,0.299,0.727,0.661,0.920,0.310,0.716,0.345,0.176,0.403,0.136,0.734,0.129,0.788,0.114,0.576,0.062,0.672,0.109,0.637,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s46_max_tokens_512,0.829,0.593,0.701,0.433,0.786,0.681,0.877,0.525,0.759,0.577,0.324,0.597,0.392,0.740,0.134,0.789,0.123,0.617,0.091,0.677,0.116,0.688,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s47_max_tokens_512,0.838,0.622,0.720,0.469,0.799,0.702,0.881,0.559,0.773,0.609,0.365,0.665,0.360,0.767,0.133,0.814,0.117,0.664,0.102,0.696,0.123,0.717,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s48_max_tokens_512,0.840,0.537,0.675,0.430,0.761,0.767,0.937,0.413,0.762,0.451,0.270,0.481,0.288,0.740,0.123,0.784,0.104,0.622,0.097,0.666,0.108,0.681,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s49_max_tokens_512,0.827,0.578,0.692,0.420,0.779,0.679,0.881,0.503,0.755,0.563,0.270,0.597,0.328,0.762,0.129,0.804,0.113,0.665,0.116,0.684,0.118,0.740,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s50_max_tokens_512,0.833,0.647,0.736,0.481,0.818,0.674,0.849,0.623,0.773,0.676,0.419,0.725,0.432,0.773,0.138,0.817,0.123,0.678,0.118,0.705,0.127,0.743,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s51_max_tokens_512,0.825,0.506,0.656,0.375,0.751,0.700,0.915,0.397,0.742,0.461,0.149,0.528,0.152,0.741,0.127,0.788,0.110,0.598,0.090,0.688,0.113,0.668,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s52_max_tokens_512,0.823,0.614,0.713,0.440,0.800,0.655,0.847,0.578,0.757,0.644,0.324,0.678,0.392,0.759,0.135,0.804,0.119,0.666,0.103,0.672,0.131,0.742,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s53_max_tokens_512,0.812,0.619,0.714,0.431,0.807,0.626,0.817,0.612,0.748,0.658,0.432,0.708,0.432,0.762,0.135,0.804,0.117,0.687,0.134,0.677,0.124,0.749,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s54_max_tokens_512,0.780,0.654,0.738,0.453,0.856,0.574,0.717,0.760,0.731,0.824,0.514,0.858,0.576,0.697,0.112,0.725,0.119,0.640,0.086,0.668,0.114,0.697,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s55_max_tokens_512,0.828,0.677,0.757,0.506,0.845,0.651,0.811,0.704,0.775,0.761,0.486,0.794,0.536,0.763,0.141,0.808,0.136,0.670,0.112,0.690,0.132,0.741,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s56_max_tokens_512,0.828,0.620,0.717,0.451,0.802,0.668,0.856,0.578,0.763,0.641,0.338,0.717,0.320,0.763,0.130,0.805,0.118,0.676,0.116,0.699,0.123,0.731,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s57_max_tokens_512,0.818,0.514,0.656,0.361,0.754,0.664,0.894,0.419,0.735,0.472,0.216,0.536,0.200,0.753,0.138,0.808,0.118,0.601,0.085,0.689,0.127,0.685,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s58_max_tokens_512,0.817,0.536,0.667,0.373,0.762,0.656,0.881,0.453,0.738,0.514,0.216,0.597,0.184,0.748,0.140,0.815,0.114,0.587,0.075,0.691,0.128,0.639,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s59_max_tokens_512,0.787,0.615,0.708,0.405,0.815,0.579,0.761,0.656,0.726,0.711,0.446,0.777,0.432,0.705,0.112,0.744,0.114,0.641,0.084,0.651,0.104,0.689,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s60_max_tokens_512,0.818,0.477,0.640,0.343,0.742,0.677,0.912,0.369,0.730,0.412,0.203,0.502,0.120,0.742,0.133,0.799,0.112,0.586,0.083,0.667,0.118,0.665,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s61_max_tokens_512,0.838,0.665,0.748,0.503,0.828,0.682,0.849,0.648,0.782,0.704,0.432,0.755,0.448,0.778,0.140,0.821,0.128,0.688,0.110,0.714,0.131,0.741,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s62_max_tokens_512,0.801,0.606,0.704,0.406,0.803,0.602,0.798,0.609,0.735,0.662,0.405,0.717,0.408,0.705,0.114,0.747,0.117,0.628,0.073,0.670,0.105,0.670,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s63_max_tokens_512,0.829,0.509,0.658,0.387,0.752,0.719,0.923,0.394,0.746,0.451,0.176,0.545,0.112,0.725,0.126,0.773,0.116,0.588,0.065,0.673,0.105,0.631,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s64_max_tokens_512,0.819,0.465,0.635,0.339,0.739,0.685,0.919,0.352,0.729,0.398,0.176,0.455,0.160,0.743,0.134,0.797,0.117,0.597,0.078,0.675,0.122,0.653,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s65_max_tokens_512,0.844,0.631,0.726,0.486,0.802,0.720,0.891,0.561,0.781,0.602,0.405,0.644,0.408,0.757,0.135,0.807,0.117,0.647,0.104,0.690,0.125,0.693,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s66_max_tokens_512,0.835,0.648,0.737,0.485,0.817,0.679,0.853,0.620,0.775,0.651,0.500,0.682,0.504,0.763,0.134,0.812,0.118,0.661,0.107,0.678,0.124,0.730,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s67_max_tokens_512,0.838,0.629,0.724,0.474,0.803,0.697,0.875,0.573,0.774,0.620,0.392,0.657,0.416,0.770,0.135,0.819,0.116,0.665,0.112,0.693,0.125,0.721,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s68_max_tokens_512,0.819,0.528,0.663,0.371,0.759,0.662,0.888,0.439,0.738,0.500,0.203,0.584,0.168,0.734,0.129,0.790,0.113,0.601,0.066,0.679,0.119,0.642,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s69_max_tokens_512,0.827,0.561,0.683,0.409,0.772,0.685,0.891,0.475,0.752,0.514,0.324,0.536,0.360,0.754,0.130,0.800,0.119,0.636,0.097,0.676,0.112,0.724,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s70_max_tokens_512,0.817,0.462,0.633,0.331,0.738,0.674,0.915,0.352,0.727,0.391,0.203,0.476,0.120,0.731,0.124,0.782,0.111,0.585,0.071,0.671,0.109,0.651,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s71_max_tokens_512,0.818,0.509,0.654,0.358,0.753,0.664,0.895,0.413,0.734,0.454,0.257,0.519,0.216,0.720,0.127,0.773,0.114,0.590,0.067,0.663,0.110,0.639,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s72_max_tokens_512,0.801,0.467,0.628,0.296,0.738,0.604,0.875,0.380,0.710,0.423,0.216,0.489,0.176,0.751,0.134,0.805,0.121,0.610,0.083,0.696,0.116,0.684,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s73_max_tokens_512,0.815,0.563,0.681,0.387,0.775,0.641,0.859,0.503,0.740,0.542,0.351,0.575,0.368,0.752,0.133,0.798,0.118,0.658,0.111,0.658,0.119,0.744,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s74_max_tokens_512,0.820,0.624,0.719,0.445,0.808,0.644,0.832,0.606,0.757,0.658,0.405,0.712,0.408,0.746,0.131,0.797,0.113,0.651,0.109,0.674,0.120,0.705,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s75_max_tokens_512,0.820,0.537,0.668,0.379,0.763,0.665,0.887,0.450,0.741,0.486,0.311,0.545,0.272,0.760,0.133,0.808,0.115,0.667,0.118,0.677,0.118,0.719,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s76_max_tokens_512,0.834,0.612,0.713,0.455,0.795,0.693,0.878,0.547,0.768,0.602,0.338,0.652,0.352,0.767,0.133,0.814,0.113,0.649,0.110,0.696,0.126,0.727,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s77_max_tokens_512,0.779,0.634,0.722,0.425,0.836,0.570,0.730,0.715,0.725,0.775,0.486,0.837,0.488,0.700,0.114,0.736,0.121,0.635,0.082,0.666,0.110,0.688,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s78_max_tokens_512,0.827,0.528,0.666,0.389,0.759,0.697,0.908,0.425,0.746,0.479,0.216,0.558,0.176,0.726,0.129,0.779,0.117,0.590,0.062,0.679,0.110,0.625,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s79_max_tokens_512,0.818,0.496,0.648,0.351,0.748,0.668,0.902,0.394,0.732,0.437,0.230,0.502,0.192,0.735,0.131,0.792,0.115,0.600,0.073,0.667,0.114,0.645,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s80_max_tokens_512,0.809,0.451,0.625,0.305,0.734,0.638,0.901,0.349,0.716,0.394,0.176,0.459,0.144,0.725,0.131,0.783,0.116,0.583,0.057,0.660,0.113,0.629,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s81_max_tokens_512,0.808,0.616,0.712,0.425,0.807,0.618,0.810,0.615,0.744,0.651,0.473,0.691,0.472,0.756,0.135,0.794,0.122,0.674,0.128,0.675,0.117,0.757,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s82_max_tokens_512,0.824,0.590,0.698,0.423,0.786,0.664,0.866,0.531,0.754,0.595,0.284,0.661,0.288,0.759,0.134,0.803,0.118,0.667,0.110,0.679,0.126,0.734,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s83_max_tokens_512,0.789,0.577,0.683,0.366,0.788,0.579,0.790,0.575,0.718,0.630,0.365,0.704,0.336,0.703,0.119,0.748,0.114,0.619,0.085,0.660,0.114,0.675,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s84_max_tokens_512,0.852,0.635,0.730,0.504,0.801,0.752,0.909,0.550,0.789,0.616,0.297,0.639,0.384,0.772,0.131,0.823,0.110,0.636,0.100,0.701,0.120,0.707,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s85_max_tokens_512,0.822,0.460,0.635,0.345,0.737,0.705,0.929,0.341,0.732,0.387,0.162,0.433,0.168,0.730,0.124,0.778,0.112,0.597,0.071,0.664,0.102,0.655,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s86_max_tokens_512,0.827,0.628,0.723,0.458,0.808,0.663,0.847,0.598,0.764,0.655,0.378,0.712,0.384,0.763,0.132,0.799,0.116,0.691,0.120,0.672,0.119,0.758,0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s87_max_tokens_512,0.829,0.647,0.735,0.476,0.819,0.663,0.839,0.631,0.770,0.697,0.378,0.738,0.432,0.773,0.134,0.813,0.117,0.671,0.126,0.695,0.121,0.766,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s88_max_tokens_512,0.817,0.603,0.704,0.422,0.795,0.639,0.839,0.570,0.749,0.648,0.270,0.695,0.336,0.757,0.135,0.803,0.116,0.663,0.113,0.685,0.125,0.730,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s89_max_tokens_512,0.767,0.583,0.682,0.353,0.797,0.545,0.738,0.626,0.701,0.687,0.392,0.764,0.368,0.675,0.115,0.702,0.115,0.617,0.094,0.630,0.096,0.687,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s90_max_tokens_512,0.806,0.457,0.626,0.302,0.736,0.626,0.892,0.360,0.715,0.398,0.216,0.459,0.176,0.744,0.135,0.797,0.123,0.608,0.079,0.686,0.119,0.662,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s91_max_tokens_512,0.807,0.595,0.698,0.403,0.794,0.617,0.821,0.575,0.739,0.627,0.378,0.708,0.328,0.778,0.137,0.822,0.119,0.693,0.133,0.709,0.128,0.758,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_soft_s42_max_tokens_512,0.830,0.649,0.738,0.480,0.822,0.664,0.839,0.636,0.771,0.680,0.466,0.703,0.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.294,0.319,0.160,0.159,0.057,0.557,1.213,0.611,0.242,0.208
stereohoax-beto-0_no_context_soft_s43_max_tokens_512,0.829,0.630,0.724,0.461,0.809,0.665,0.849,0.599,0.766,0.641,0.438,0.685,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.323,0.178,0.165,0.057,0.569,1.139,0.594,0.247,0.219
stereohoax-beto-0_no_context_soft_s44_max_tokens_512,0.862,0.713,0.784,0.575,0.851,0.732,0.873,0.695,0.813,0.746,0.493,0.776,0.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.283,0.307,0.165,0.182,0.061,0.568,1.209,0.607,0.252,0.211
stereohoax-beto-0_no_context_soft_s45_max_tokens_512,0.829,0.671,0.754,0.501,0.841,0.654,0.818,0.689,0.775,0.739,0.493,0.776,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.314,0.123,0.206,0.070,0.513,0.989,0.544,0.277,0.236
stereohoax-beto-0_no_context_soft_s46_max_tokens_512,0.854,0.667,0.750,0.527,0.821,0.734,0.890,0.611,0.797,0.669,0.384,0.707,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.301,0.228,0.146,0.061,0.550,1.326,0.610,0.215,0.193
stereohoax-beto-0_no_context_soft_s47_max_tokens_512,0.828,0.640,0.731,0.468,0.816,0.659,0.839,0.622,0.767,0.658,0.479,0.698,0.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.295,0.318,0.153,0.179,0.063,0.537,1.210,0.581,0.241,0.215
stereohoax-beto-0_no_context_soft_s48_max_tokens_512,0.850,0.698,0.774,0.548,0.849,0.699,0.850,0.697,0.799,0.743,0.521,0.780,0.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.281,0.306,0.164,0.161,0.057,0.556,1.282,0.616,0.230,0.207
stereohoax-beto-0_no_context_soft_s49_max_tokens_512,0.847,0.676,0.757,0.524,0.832,0.702,0.862,0.653,0.792,0.697,0.479,0.754,0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.310,0.224,0.183,0.077,0.501,1.262,0.588,0.313,0.253
stereohoax-beto-0_no_context_soft_s50_max_tokens_512,0.854,0.677,0.757,0.534,0.828,0.727,0.881,0.633,0.799,0.683,0.438,0.724,0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.309,0.210,0.168,0.066,0.534,1.392,0.601,0.295,0.242
stereohoax-beto-0_no_context_soft_s51_max_tokens_512,0.855,0.688,0.765,0.545,0.836,0.724,0.876,0.655,0.802,0.711,0.438,0.772,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.352,0.293,0.210,0.162,0.081,0.486,1.410,0.591,0.276,0.225
stereohoax-beto-2_txt_father_hard_s42_max_tokens_512,0.822,0.479,0.642,0.352,0.743,0.693,0.919,0.366,0.734,0.423,0.149,0.506,0.104,0.723,0.110,0.769,0.091,0.578,0.055,0.690,0.103,0.617,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s43_max_tokens_512,0.808,0.403,0.606,0.279,0.722,0.644,0.919,0.293,0.710,0.331,0.149,0.408,0.080,0.705,0.114,0.754,0.096,0.572,0.053,0.658,0.102,0.581,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s44_max_tokens_512,0.818,0.448,0.628,0.329,0.734,0.688,0.924,0.332,0.727,0.387,0.122,0.481,0.056,0.739,0.113,0.790,0.086,0.595,0.056,0.697,0.106,0.603,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s45_max_tokens_512,0.817,0.476,0.639,0.338,0.742,0.670,0.909,0.369,0.729,0.426,0.149,0.502,0.120,0.713,0.121,0.768,0.102,0.583,0.054,0.666,0.107,0.584,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s46_max_tokens_512,0.823,0.467,0.638,0.351,0.740,0.706,0.927,0.349,0.734,0.412,0.108,0.485,0.096,0.725,0.120,0.774,0.103,0.580,0.066,0.679,0.110,0.610,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s47_max_tokens_512,0.815,0.452,0.628,0.323,0.735,0.670,0.916,0.341,0.724,0.394,0.135,0.485,0.072,0.729,0.113,0.783,0.085,0.558,0.052,0.685,0.101,0.606,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s48_max_tokens_512,0.820,0.452,0.630,0.335,0.735,0.694,0.926,0.335,0.729,0.391,0.122,0.468,0.088,0.718,0.113,0.767,0.092,0.571,0.051,0.680,0.098,0.587,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s49_max_tokens_512,0.823,0.352,0.598,0.316,0.714,0.794,0.971,0.226,0.722,0.254,0.122,0.296,0.096,0.704,0.103,0.742,0.087,0.553,0.056,0.657,0.093,0.575,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s50_max_tokens_512,0.816,0.396,0.608,0.301,0.722,0.697,0.940,0.277,0.718,0.313,0.135,0.373,0.096,0.730,0.117,0.775,0.101,0.575,0.060,0.685,0.104,0.615,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s51_max_tokens_512,0.817,0.513,0.656,0.359,0.754,0.661,0.892,0.419,0.734,0.493,0.135,0.575,0.128,0.737,0.119,0.795,0.094,0.591,0.058,0.688,0.115,0.634,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s52_max_tokens_512,0.823,0.444,0.629,0.342,0.734,0.719,0.937,0.321,0.731,0.370,0.135,0.433,0.112,0.722,0.116,0.769,0.095,0.562,0.055,0.680,0.109,0.598,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s53_max_tokens_512,0.825,0.537,0.670,0.391,0.762,0.687,0.899,0.441,0.746,0.500,0.216,0.571,0.200,0.726,0.118,0.782,0.097,0.591,0.059,0.670,0.107,0.632,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s54_max_tokens_512,0.830,0.575,0.691,0.424,0.778,0.693,0.891,0.492,0.757,0.567,0.203,0.631,0.232,0.721,0.111,0.764,0.092,0.610,0.091,0.671,0.101,0.665,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s55_max_tokens_512,0.840,0.560,0.686,0.441,0.769,0.751,0.926,0.447,0.766,0.514,0.189,0.592,0.176,0.732,0.129,0.786,0.112,0.581,0.066,0.686,0.119,0.616,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s56_max_tokens_512,0.816,0.464,0.633,0.329,0.738,0.668,0.912,0.355,0.726,0.412,0.135,0.489,0.104,0.725,0.116,0.778,0.092,0.571,0.059,0.681,0.106,0.608,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s57_max_tokens_512,0.845,0.622,0.721,0.482,0.797,0.729,0.899,0.542,0.780,0.602,0.311,0.601,0.432,0.749,0.125,0.793,0.113,0.617,0.074,0.692,0.117,0.704,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s58_max_tokens_512,0.847,0.669,0.751,0.519,0.825,0.711,0.871,0.631,0.791,0.680,0.446,0.708,0.488,0.755,0.131,0.810,0.113,0.621,0.086,0.692,0.122,0.692,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s59_max_tokens_512,0.821,0.465,0.636,0.343,0.739,0.694,0.923,0.349,0.731,0.405,0.135,0.485,0.096,0.723,0.116,0.774,0.095,0.577,0.059,0.682,0.100,0.597,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s60_max_tokens_512,0.817,0.504,0.651,0.353,0.751,0.661,0.895,0.408,0.732,0.468,0.176,0.549,0.144,0.736,0.125,0.796,0.101,0.587,0.064,0.692,0.109,0.617,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
